#SampleID	Soil	Replica	Sample	sampling_time
Steffi-RH-110	FA29_G	5	22	04_22
Steffi-RH-111	FA29_E	1	23	04_22
Steffi-RH-112	FA29_E	2	23	04_22
Steffi-RH-113	FA29_E	3	23	04_22
Steffi-RH-114	FA29_E	4	23	04_22
Steffi-RH-115	FA29_E	5	23	04_22
Steffi-RH-116	FA29_S	1	24	04_22
Steffi-RH-117	FA29_S	2	24	04_22
Steffi-RH-118	FA29_S	3	24	04_22
Steffi-RH-119	FA29_S	4	24	04_22
Steffi-RH-120	FA29_S	5	24	04_22
Steffi-RH-121	FA42_G	1	25	04_22
Steffi-RH-122	FA42_G	2	25	04_22
Steffi-RH-123	FA42_G	3	25	04_22
Steffi-RH-124	FA42_G	4	25	04_22
Steffi-RH-125	FA42_G	5	25	04_22
Steffi-RH-126	FA42_E	1	26	04_22
Steffi-RH-127	FA42_E	2	26	04_22
Steffi-RH-128	FA42_E	3	26	04_22
Steffi-RH-129	FA42_E	4	26	04_22
Steffi-RH-131	FA42_S	1	27	04_22
Steffi-RH-132	FA42_S	2	27	04_22
Steffi-RH-133	FA42_S	3	27	04_22
Steffi-RH-134	FA42_S	4	27	04_22
Steffi-RH-135	FA42_S	5	27	04_22
Steffi-RH-PCRneg1	PCR_neg	1	PCR_neg	04_22
Steffi-RH-PCRneg2	PCR_neg	2	PCR_neg	04_22
